member_id,member_name,committee_id,committee_name,is_member
771,אבי (משה) דיכטר,16,(!!!INVALID!!!) ועדה מיוחדת למאבק בנגעי הסמים והאלכוהול (!!!INVALID!!!),False
771,אבי (משה) דיכטר,30,"הוועדה המיוחדת לדיון בהצ""ח התכנון והבנייה (תיקון - פיצול דירות), בהצ""ח בעניין תקופת לידה והורות ובהצ""ח התכנון והבנייה (תיקון-דיור בהישג יד) (פ/3029) ",False
771,אבי (משה) דיכטר,35,הוועדה המיוחדת לדיון בהצעה לסדר היום בנושא קשיים ברפורמה בשירות המדינה,False
771,אבי (משה) דיכטר,33,הוועדה המיוחדת לדיון בהצעת חוק הרשות הממשלתית להתחדשות עירונית ובסעיפים מהצעת חוק התכנית הכלכלית,False
771,אבי (משה) דיכטר,29,הוועדה המיוחדת לדיון בהצעת חוק-יסוד: הממשלה (תיקון מס' 3 והוראת שעה לכנסת ה-20),False
771,אבי (משה) דיכטר,103,הוועדה המיוחדת לצדק חלוקתי ולשוויון חברתי,False
771,אבי (משה) דיכטר,36,הוועדה המיוחדת לצדק חלוקתי ולשוויון חברתי,False
771,אבי (משה) דיכטר,26,הוועדה המסדרת,False
771,אבי (משה) דיכטר,58,הוועדה המשותפת לוועדת הכלכלה ולוועדה לקידום מעמד האישה בהתאם לחוק זכויות הדייר בדיור הציבורי,False
771,אבי (משה) דיכטר,18,הוועדה המשותפת לנושא סביבה ובריאות,False
771,אבי (משה) דיכטר,60,הועדה משותפת בנושא נפגעים באירועי ספורט המוניים וגל אירועי גזענות ואלימות בספורט,False
771,אבי (משה) דיכטר,28,וועדה מיוחדת לדיון בהצעת חוק-יסוד: הממשלה (תיקון מס' 3 והוראת שעה לכנסת ה-20),False
771,אבי (משה) דיכטר,7,ועדה לענייני ביקורת המדינה,False
771,אבי (משה) דיכטר,11,ועדה לקידום מעמד האישה ולשוויון מגדרי,False
771,אבי (משה) דיכטר,12,ועדה מיוחדת לבעיית העובדים הזרים,False
771,אבי (משה) דיכטר,20,"ועדה מיוחדת לדיון בהצעת החוק בעניין השוויון בנטל בשירות הצבאי, בשירות האזרחי ובשוק העבודה ולהסדרת מעמדם של תלמידי הישיבות",False
771,אבי (משה) דיכטר,24,ועדה מיוחדת לדיון בהצעת חוק השידור הציבורי,False
771,אבי (משה) דיכטר,31,"ועדה מיוחדת לדיון בהצעת חוק השידור הציבורי (תיקון), התשע""ה-2015 ",False
771,אבי (משה) דיכטר,15,ועדה מיוחדת לזכויות הילד,False
771,אבי (משה) דיכטר,32,ועדה מיוחדת ליישום הנגשת המידע הממשלתי ועקרונות שקיפותו לציבור,False
771,אבי (משה) דיכטר,23,ועדה מיוחדת למאבק בנגעי הסמים והאלכוהול,False
771,אבי (משה) דיכטר,14,ועדה מיוחדת לפניות הציבור,False
771,אבי (משה) דיכטר,117,"ועדה מיוחדת לפרשת היעלמותם של ילדי תימן, מזרח והבלקן",False
771,אבי (משה) דיכטר,27,ועדה מסדרת,False
